steps	angle_deg	episodes	goal_success	solves_per_ep	drop_rate
4999960	45	50	0.30	0.72	0.12
9999920	45	50	0.35	1.00	0.00
14999880	45	50	0.43	1.26	0.14
19999840	45	50	0.44	1.36	0.04
24999800	45	50	0.36	1.00	0.08
30001244	45	100	0.39	1.09	0.02
30001244	30	100	0.49	1.50	0.06
30001244	60	100	0.28	0.73	0.01
